"Question","Answer"
"What should be done if the edge/cluster fails to come up after a management interface toggle (ONECELL5G-1068)?","1. Power off the Standby node. 2. Reboot the Active node. 3. Once the Active node is up, power on the Standby node."
"How can ""Imagepullbackoff"" errors be resolved for rbd-provisioner pods (ONECELL5G-1546)?","This can occur if the rbd-provisioner image is not replicated on the edge local repository or if the standby node cannot resolve ""registry.local"". 1. Pull the image using `ctr images pull <central-floating-ip>:30003/starlingx/quay.io/external_storage/rbd-provisioner:v2.1.1-k8s1.11`. 2. Tag the image using `ctr images tag <central-floating-ip>:30003/starlingx/quay.io/external_storage/rbd-provisioner:v2.1.1-k8s1.11 registry.local:9001/quay.io/external_storage/rbd-provisioner:v2.1.1-k8s1.11`. 3. Push the image using `ctr images push registry.local:9001/quay.io/external_storage/rbd-provisioner:v2.1.1-k8s1.11 --skip-verify -u admin`. Use the password for the Active controller. 4. Run `netstat -ant | grep 9001` to get the OAM IP address of a registry process. 5. Add this OAM IP address to the `/etc/hosts` file of the node where the image pull is failing."
"Why is a sysadmin password update not effective system-wide when updated via NODE-IP, and how should it be updated?","The Floating OAM IP is only associated with the active controller and it is recommended to access the cluster only over OAM floating IP. On expiry of sysadmin password, the password needs to be updated via the Active controller only, and the controller should be Online and in an available state. The password will auto sync after some time."
"What causes the ""Failed to pull images from registry.local"" error and how can it be resolved?","This error is due to missing executable permissions on the ""commscope_patch.sh"" file. Ensure executable permission is assigned to this file."
"How can RabbitMQ connection failures be troubleshooted when reconnecting to AMQP server on 10.222.35.1:5672 results in `ECONNREFUSED`?","This indicates the AMQP server is unreachable. The system will try again in 30 seconds."
"What can cause controller-0 to not become active after bootstrap and reboot, and lead to the `/etc/platform/openrc` command failing?","This can happen if the initial configuration is not completed. You might see messages in the log indicating issues with platform filesystem backup."
"What indicates an incomplete initial configuration that prevents the controller from coming up?","Log messages like `Error: ... /Stage[main]/Platform::Filesystem::Backup/... change from 25G to 50G failed: Execution of '/usr/sbin/lvextend -L 52428800k ""/dev/cgts-vg/backup-lv""' returned 5: Insufficient free space: 800 extents needed, but only 37 available` or `Notice: ... /Stage[main]/Platform::Filesystem::Backup/... Exec[wipe start of device backup-lv]: Dependency Logical_volume[backup-lv] has failures: true` indicate incomplete configuration."
"What should be checked if a node continuously restarts after a flash install?","Check the console logs for disk error messages."
"Why might Nginx not be able to forward VES events?","Curl or Nginx might not work without binding to an IP address, or there might be a kernel version difference. The `proxy_bind` option needs to be used in Nginx, requiring code changes."
"What happens when the `/var/lib/docker` partition becomes full?","Pods are evicted when the `/var/lib/docker` partition becomes full."
"How can a full `/var/lib/docker` partition be resolved?","Increase the file system disk to 50G for docker through the StarlingX central cloud UI."
"Why is the CMPv2 application crashing?","The Java application is reporting no available cores."
"How can the CMPv2 application crashing due to no available cores be fixed?","The Java Application needs to be run with the `-Dio.grpc.netty.shaded.io.netty.availableProcessors=1` flag, which requires code changes."
